,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,4.885040541827006e-05,8.913116489714448e-05,0.0007203628360174633,0.007972254235257818,0.01284788522062937,0.0,0.0001064232888310472,2.9602439040736708e-06,4.762225469061992e-05,0.008628486673455792,0.06964961956369908
xmeas02_low,2.57467978548048e-05,0.0,1.0458329991533945e-06,3.667095188504515e-06,4.8052939632337975e-05,5.217126657927726e-05,0.00018870982902995304,0.0,6.14211108759217e-07,2.974254493367687e-06,1.2025193508946892e-05,0.00011321020041581632
xmeas03_low,8.76648570285232e-05,1.0443977761986401e-06,0.0,6.235505132665382e-06,0.00024679079941191165,0.00023312085900067874,2.998625690058351e-05,1.8837322375027952e-06,0.0,5.0573996691304384e-06,7.227944012027496e-05,8.129262311295858e-05
xmeas08_low,7.502016909793735e-05,3.8145937396186395e-06,6.49522428877167e-06,0.0,0.0001420522392928604,0.00018163266155226123,0.0001696078254861638,6.880227899733061e-06,3.8145937396186395e-06,0.0,7.669149167575934e-05,0.0003545293063410704
xmeas09_low,0.002034613227582231,3.743798559814983e-05,9.835512693794283e-06,0.0002080429932385911,0.0,0.0033370375461894315,0.0014543801705530102,1.2986920774911142e-05,3.732624400887876e-05,2.0094585591201436e-05,0.0,0.007196423554625048
xmeas21_low,0.00448098111563357,0.0002605382564017602,1.84612268311963e-07,0.0007818971921115888,0.0007525990530851618,0.0,0.0125464220267145,0.00025232078408779425,5.750465893864429e-05,0.0012779815541518814,0.006816115561212438,0.0
xmeas01_high,0.0,4.396245115340307e-06,1.9223903937751367e-05,0.0003802414476458857,0.005553956694114366,0.01794501810510478,0.0,0.00013613345636676874,0.0004441574483811895,0.0021006030501144806,0.0032637930876932343,0.015953197758680666
xmeas02_high,2.629163400085415e-05,0.0,1.9876681997212934e-06,6.969555044341103e-06,5.7235832802235475e-05,0.00016976590685234506,4.241041297300135e-05,0.0,1.1673444172806395e-06,0.000179232305734555,2.2855138511160915e-05,5.9552132031879294e-05
xmeas03_high,1.4983349535194075e-05,6.14211108759217e-07,0.0,3.667095188504515e-06,2.2868612857327673e-05,0.0001712906027098598,6.450353727363352e-05,1.107823815231376e-06,0.0,2.676740812449838e-06,0.00012830956383268956,0.0001321544159520289
xmeas08_high,8.690831251991857e-05,3.013476102907796e-06,5.131133513312195e-06,0.0,0.00023732910420088297,0.0003834039491840552,0.00020295715870381826,5.435279824053929e-06,3.013476102907796e-06,0.0,0.0006181562115146006,0.0001794032890830004
xmeas09_high,0.0009651789162560137,5.6299560743540445e-05,9.586734941940591e-05,0.000336253016001342,0.0,0.0485708588610984,0.004988120900175735,0.00010155110874476209,1.264477176203523e-05,0.0002488515995934394,0.0,0.020818377394555807
xmeas21_high,0.001943374225176017,1.1500582485481847e-05,0.00017838894125638392,0.0001288764172595909,0.0005163568555940829,0.0,0.03158180573823545,0.0002035139528734852,0.00015907831549584519,0.00018353458511613104,0.01986292451009001,0.0
