,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.005157243439957681,0.005707033526284869,0.0,0.0,0.0,1.8198350624324917e-05,0.029454804202692333,0.0453657994405077
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.0006068769914153387,0.0,0.0,0.0,0.0,0.001565049668145521,0.00036929671218584586,0.0,0.0,2.9567647732855537e-06,0.0,0.0036461416564671795
xmeas21_low,0.0017884023153631834,0.0,0.0,0.0,0.0015541737058433539,0.0,0.005070214847295718,0.0,0.0,0.00017924216374399132,0.0038149548930625225,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.002054058569707661,0.025808067456604973,0.0,0.0,0.0,0.0001410071442166291,0.022104408328909513,0.02249537031112286
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,1.489995552850492e-06,0.0,0.0,0.0,2.4612162167166693e-06,2.39838449187951e-05,5.751382859824285e-06,0.0,0.0,0.0,1.440434408948059e-06,4.425454828281443e-06
xmeas09_high,0.0003453420526794155,0.0,0.0,0.0,0.0,0.02620538075928781,0.0027755071379279668,0.0,0.0,6.0618253654248435e-06,0.0,0.007158327595138441
xmeas21_high,0.0010083825861579242,0.0,0.0,0.0,0.0021152643848269715,0.0,0.014420660024428572,0.0,0.0,2.6797468366568885e-05,0.009298697222673003,0.0
