,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,6.559133640578962e-05,0.00010525512322540431,0.0007848222801869994,0.012882541032032617,0.022633725099876458,0.0,0.00013116399479978647,1.6555220415261262e-05,9.627632018623631e-05,0.028758659748152584,0.07906482833117727
xmeas02_low,5.118334377587204e-05,0.0,3.1391442483197297e-06,1.1194053557751807e-05,0.00016786088533613945,0.00013198979959596632,0.00026496782765208246,0.0,1.8435978309954367e-06,9.11377046305876e-06,2.6478622367452712e-05,0.00039935603848630037
xmeas03_low,0.00025244129478543424,3.1362709804669368e-06,0.0,1.9043130809567267e-05,0.00039238766424711994,0.0008167145738469567,6.115931559073923e-05,5.971219988900355e-06,0.0,1.5504155974844876e-05,0.00012603715309581908,0.00016431911149892214
xmeas08_low,0.00015075604902606713,1.1489028175343282e-05,1.9562842865364173e-05,0.0,0.0004267372685870657,0.0005369889833243245,0.000678264480226046,2.1874432011374713e-05,1.1489028175343282e-05,0.0,0.0001237869622213504,0.0013514992421206093
xmeas09_low,0.0033436248094162726,0.00033805184755166017,0.00024059501455678568,0.0005140320799514109,0.0,0.007866692047727017,0.0020963851306084907,0.00013786191172867864,0.00038573212495118743,0.0003196382310679363,0.0,0.012840664014514246
xmeas21_low,0.004304279139247807,0.00040873250385150173,0.00030989466743335756,0.0011383697496803067,0.0038762462652996493,0.0,0.010293896677990624,0.0004900547125052145,0.00023388924932458199,0.0024500814444494154,0.007419729414345315,0.0
xmeas01_high,0.0,2.2118358822167516e-05,4.856839644848419e-05,0.0007606081658219021,0.006636429740961089,0.02680526578339346,0.0,0.00011610569410593644,0.0004748500061513938,0.002321734647334129,0.022497978979044035,0.03419624677653937
xmeas02_high,5.256709502229409e-05,0.0,5.9696559184986044e-06,2.1287732009103866e-05,0.0001739258457729163,0.0006018345312470952,8.617999984733293e-05,0.0,3.5059328936060783e-06,0.0001887049386244517,5.035742402814435e-05,0.0001379613979271015
xmeas03_high,3.0632711907989727e-05,1.8435978309954367e-06,0.0,1.1194053557751807e-05,6.843980041943017e-05,0.0004867205972510021,0.00011094903831470628,3.510064231397103e-06,0.0,8.50562444193376e-06,0.00024165655318242178,0.0005027744361233294
xmeas08_high,0.0004548893124973538,8.944408421347936e-06,1.522998041787452e-05,0.0,0.0008412451472334527,0.0008651763302620574,0.0007077221392642431,1.7029578219153963e-05,8.820456649794205e-06,0.0,0.001400769051161345,0.0004107082293419838
xmeas09_high,0.0008151399955057433,7.008089221152259e-05,0.00011933576669610612,0.0004221869439683787,0.0,0.04659198203385621,0.004660868963547309,0.0001334387118643054,4.6836102753024815e-05,0.0011522595338696003,0.0,0.022429412990774285
xmeas21_high,0.0022541052964240313,0.0001915798859025786,0.0002676212495435889,0.0004811006187781593,0.0030339432122983936,0.0,0.02474296454479222,0.000316547448105573,0.00026089408408548517,0.00047793144854544055,0.017911452644936633,0.0
