,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.005671622304303989,0.02273290687091034,0.0,0.0,0.0,1.894607960751907e-05,0.027717864713259988,0.04754300070753432
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.0008331422664157675,0.0,0.0,0.0,0.0,0.0022747130813281125,0.000626503059483796,0.0,0.0,4.172681382219827e-06,0.0,0.003660128751612468
xmeas21_low,0.001990832298659972,0.0,0.0,0.0,0.0021495455049266618,0.0,0.006084959982128756,0.0,0.0,0.00019084488462682561,0.0052196704968231755,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.001978450558621303,0.03375144862304669,0.0,0.0,0.0,0.00014381897351741738,0.022885925379870872,0.020588600671944048
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,2.208680320903871e-06,0.0,0.0,0.0,4.136737600572654e-06,6.884209310823978e-05,9.651777232681968e-06,0.0,0.0,0.0,2.5611040481108446e-06,9.960099368606116e-06
xmeas09_high,0.00040925658944662366,0.0,0.0,0.0,0.0,0.027259220450711424,0.002022234675101909,0.0,0.0,0.0005536944934941036,0.0,0.004925944986048025
xmeas21_high,0.0017015252613569796,0.0,0.0,0.0,0.0028498688101240947,0.0,0.011388417322914188,0.0,0.0,2.893367938318591e-05,0.008421181275021767,0.0
