,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,4.8637637807137524e-05,8.892302184549071e-05,0.0007133058929551979,0.0047885540451859205,0.0023816259307035967,0.0,0.00011316162614531337,2.9633748868200075e-06,3.971272776208992e-05,0.029433583345134164,0.08131549344546703
xmeas02_low,5.123512565840562e-05,0.0,1.0436474237801009e-06,3.637752024796744e-06,4.557250903358227e-05,0.0001111190337197449,0.0004795211326398879,0.0,6.134895843704165e-07,3.0176205770073206e-06,2.2186249553515514e-05,2.9773183565450547e-05
xmeas03_low,4.585624712597914e-05,1.0431706079835603e-06,0.0,6.185598650122797e-06,3.301951594015723e-05,2.656357822986815e-05,6.287565876948744e-05,1.9836426884421747e-06,0.0,5.131131694144152e-06,3.7725873580935714e-05,0.00013053919082807436
xmeas08_low,0.00014968735018961983,3.810104619701684e-06,6.481626768353823e-06,0.0,0.00018989694260876475,0.0001548820831713405,0.0005396371352710687,7.245119069521662e-06,3.810104619701684e-06,0.0,0.00013780586247356852,0.00034235125971225644
xmeas09_low,0.003601310849027714,3.7405719595015985e-05,9.700343996974474e-05,0.00020634723879997077,0.0,0.005923822178467364,0.0011870685949754078,6.604685911966813e-05,3.7405719595015985e-05,1.968852481824771e-05,0.0,0.008465761375046014
xmeas21_low,0.009356562441525726,4.67827132191893e-06,1.1462365785542622e-05,0.0009504049479229506,1.2380567855647487e-05,0.0,0.027700427718629513,0.00013921586663567798,5.74866031239723e-05,0.0014400174790302454,0.007557020438016262,0.0
xmeas01_high,0.0,4.3616750406117545e-06,1.9154378858552833e-05,0.0003780828523235298,0.006671844030837121,0.011456317638844395,0.0,7.32117456783038e-05,0.00044272043509490603,0.002133287214424795,0.003407443263524746,0.0111893093185854
xmeas02_high,5.016822930238347e-05,0.0,1.8790563041170219e-06,6.549672290905495e-06,0.00023145507975303196,5.755041432790326e-06,8.947007062954699e-05,0.0,1.1045696450330615e-06,5.433141022643011e-06,3.9946442197834224e-05,2.192759668474734e-05
xmeas03_high,3.2111262144422046e-05,6.134895843704165e-07,0.0,3.637752024796744e-06,3.057373962738474e-05,5.6003177719597996e-05,6.832409883159675e-05,1.1665818536237094e-06,0.0,3.0176205770073206e-06,6.779451869532337e-05,3.911631816425293e-05
xmeas08_high,9.027475920141636e-05,3.009931353575734e-06,5.120396386607914e-06,0.0,3.7663522985537637e-05,1.9534405147117013e-05,0.0004497503120301724,5.723544530097036e-06,3.009931353575734e-06,0.0,0.00044616424540325363,0.0002852119384576132
xmeas09_high,0.0020812133344325218,5.6231318358986645e-05,9.566076816683434e-05,0.0003334801184040026,0.0,0.04929463127725204,0.008513251814387706,0.00010692936522079692,0.00010989096615571334,0.0012018525279213778,0.0,0.014744057296192218
xmeas21_high,0.005007734299677811,6.545939919821352e-05,0.0001780256534772024,4.030648949935536e-05,0.00014413480772407022,0.0,0.05263799342327653,0.00021725511494782724,6.528631933341286e-05,0.00011686216334195668,0.0357213509456549,0.0
