,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.006439140176482404,0.053160251356111694,0.0,0.0,0.0,1.8579910433393917e-05,0.052839165543505984,0.08813949705496879
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.0022120190885278547,0.0,0.0,0.0,0.0,0.0030857217822064823,0.0009638771832682805,0.0,0.0,3.573820832274074e-06,0.0,0.008094151187996713
xmeas21_low,0.005790690862691451,0.0,0.0,0.0,0.0020645318427021477,0.0,0.015896880811632604,0.0,0.0,0.00018530059516908156,0.00924666320678987,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.0031432630090294563,0.06935866317434322,0.0,0.0,0.0,0.00014247727423405675,0.019621572131196145,0.02674465617564124
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,5.634852045477606e-06,0.0,0.0,0.0,3.579051161821968e-06,7.073797609896694e-05,2.1675545797011832e-05,0.0,0.0,0.0,5.080764995707642e-06,1.2495104457764227e-05
xmeas09_high,0.0010499452352385433,0.0,0.0,0.0,0.0,0.06268975248621725,0.005749139335243063,0.0,0.0,0.0005356382624833026,0.0,0.009844856654629204
xmeas21_high,0.0032172677922384704,0.0,0.0,0.0,0.003077982962928012,0.0,0.04027796763757677,0.0,0.0,2.7918003968720558e-05,0.02663431609428566,0.0
