,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,5.7130754886335736e-05,9.710685223461723e-05,0.0007561980561078928,0.011173596794203244,0.025375842098381694,0.0,0.00012218842029029683,9.779891519794582e-06,6.801280057579695e-05,0.028820163038914028,0.07736621159116762
xmeas02_low,5.0713935050837316e-05,0.0,2.0897521738061517e-06,7.429769283773108e-06,6.829112756655395e-05,0.00012645932507822784,0.00021507042845415143,0.0,1.227860979982997e-06,6.054681897820441e-06,2.4302307478303956e-05,0.0001464990572703487
xmeas03_low,0.00017612497336108428,2.08831891913352e-06,0.0,1.263643718187591e-05,0.00031080803726984133,0.0004588475099126829,6.106119265053808e-05,3.973648012205565e-06,0.0,1.0297699570041895e-05,9.208676167530983e-05,0.0001415659030475757
xmeas08_low,0.0001495518326076685,7.638720202314057e-06,1.3000734488748777e-05,0.0,0.0003168717642132683,0.0004249874955399696,0.0003663618746118535,1.453500101203082e-05,7.638720202314057e-06,0.0,7.768548646398304e-05,0.00045370676044716667
xmeas09_low,0.0035488142771250885,0.0001858990830138335,8.115164956602625e-05,0.0003705301059171798,0.0,0.006276392176415223,0.002234405573093824,8.260399699758702e-05,0.0003114429606254207,0.00017461597146280875,0.0,0.009100700800425573
xmeas21_low,0.005717022631833199,0.0003716535175989729,7.968485203118457e-05,0.0008756404809783247,0.0018749652502544289,0.0,0.014371971436148687,0.0004520363968445084,0.0001656176497768266,0.001959757130823375,0.006845735363779702,0.0
xmeas01_high,0.0,1.4562898041866752e-05,3.60011548145537e-05,0.0005574647874092705,0.0063929389640377055,0.02061361079561879,0.0,9.796365214641433e-05,0.00046135306267172237,0.002239581020555384,0.016469400672766456,0.01920485223494809
xmeas02_high,5.2197972715867626e-05,0.0,3.9728684316840545e-06,1.412493981281304e-05,0.00010169848630445475,0.00018632147330542456,8.666301925122951e-05,0.0,2.3343087760023834e-06,0.00018330031921472975,4.6203616864626204e-05,0.00013794003236262977
xmeas03_high,3.0779319175595606e-05,1.227860979982997e-06,0.0,7.429769283773108e-06,5.092057299229868e-05,0.00025042860411126895,0.00011376310161496315,2.336369225030675e-06,0.0,5.751758712027947e-06,0.00019628279004177767,0.00022813393377155925
xmeas08_high,0.0003011061186810507,5.970156092289905e-06,1.0160908241209743e-05,0.0,0.0003311581003355903,0.0003856056421466153,0.000599483085926935,1.1360032665750546e-05,5.9084142622066814e-06,0.0,0.0015518505690018682,0.0004095624825627141
xmeas09_high,0.0011683453772660416,6.410330201219999e-05,0.00010910458201354558,0.0003880009837784895,0.0,0.04997691720476852,0.004915088334937765,0.00012198166199105583,3.320758755467686e-05,0.000920987550895427,0.0,0.018857870914429132
xmeas21_high,0.0031015931841280775,0.00012031904638149814,0.00023161822973777357,0.0001800720282823143,0.0010566151653411968,0.0,0.030827558302387217,0.00027659967688149344,0.00021966480914480235,0.0003581290101032472,0.02206737674690352,0.0
