,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.0012973896499205578,0.002843378419978833,0.0,0.0,0.0,0.0,0.0009426608006986731,0.025970000854739474
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,6.779348580710362e-05,0.0,0.0,0.0,0.0,5.8761681540727475e-05,3.7584511404645375e-05,0.0,0.0,0.0,0.0,0.0001925631108493047
xmeas21_low,0.001437906506088939,0.0,0.0,0.0,0.0004207887479960631,0.0,0.004273017135726139,0.0,0.0,0.0,0.0008844174324180265,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.0005224380012408775,0.0059926425820155315,0.0,0.0,0.0,0.0,0.0036730258293809917,0.008438248941625152
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,0.0002480413275913902,0.0,0.0,0.0,0.0,0.018911259533480104,0.0013993323506194958,0.0,0.0,0.0,0.0,0.004968450448951822
xmeas21_high,0.0003815242915913002,0.0,0.0,0.0,0.0008267549027443221,0.0,0.010155534170458067,0.0,0.0,0.0,0.006959778539498482,0.0
