proc_var,limit,type,dead_band,delay_time
1,0.162672630444396,LOW,NaN,NaN
2,3640.13466323542,LOW,NaN,NaN
3,4426.05040550721,LOW,NaN,NaN
4,9.1370947534528,LOW,NaN,NaN
5,29.8765247021586,LOW,NaN,NaN
6,47.231744958497,LOW,NaN,NaN
7,2799.94984784044,LOW,NaN,NaN
8,64.7084907318034,LOW,NaN,NaN
9,122.892563775244,LOW,NaN,NaN
10,0.203336140128673,LOW,NaN,NaN
11,90.6129184265513,LOW,NaN,NaN
12,49.4043701579124,LOW,NaN,NaN
13,2704.51751399958,LOW,NaN,NaN
14,25.2649610375458,HIGH,NaN,NaN
15,48.0473685617964,LOW,NaN,NaN
16,3332.09124241961,HIGH,NaN,NaN
17,22.7038511981666,LOW,NaN,NaN
18,66.5488826981852,LOW,NaN,NaN
19,-0.647651455773778,LOW,NaN,NaN
20,273.375389611481,HIGH,NaN,NaN
21,102.446374794396,LOW,NaN,NaN
22,91.9762220018313,LOW,NaN,NaN
