TIME,TAG,TAG_DESC,ALARM,ALARM_DESC,STATE
2018-03-14 16:15:18.1518,XMV-01,XMV-01,LOW,LOW,ALM
2018-03-14 16:15:54.1554,XMV-07,XMV-07,LOW,LOW,ALM
2018-03-14 16:15:54.1554,XMV-13,XMV-13,LOW,LOW,ALM
2018-03-14 16:15:54.1554,XMV-16,XMV-16,LOW,LOW,ALM
2018-03-14 16:15:54.1554,XMV-43,XMV-43,LOW,LOW,ALM
2018-03-14 16:16:30.1630,XMV-43,XMV-43,LOW,LOW,RTN
2018-03-14 16:16:30.1630,XMV-21,XMV-21,HIGH,HIGH,ALM
2018-03-14 16:17:06.176,XMV-09,XMV-09,LOW,LOW,ALM
2018-03-14 16:17:06.176,XMV-47,XMV-47,LOW,LOW,ALM
2018-03-14 16:17:42.1742,XMV-09,XMV-09,LOW,LOW,RTN
2018-03-14 16:18:54.1854,XMV-09,XMV-09,LOW,LOW,ALM
2018-03-14 16:20:06.206,XMV-09,XMV-09,LOW,LOW,RTN
2018-03-14 16:20:06.206,XMV-10,XMV-10,LOW,LOW,ALM
2018-03-14 16:21:18.2118,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:21:54.2154,XMV-20,XMV-20,LOW,LOW,ALM
2018-03-14 16:22:30.2230,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:24:18.2418,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:24:54.2454,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:25:30.2530,XMV-22,XMV-22,LOW,LOW,ALM
2018-03-14 16:26:42.2642,XMV-05,XMV-05,LOW,LOW,ALM
2018-03-14 16:26:42.2642,XMV-09,XMV-09,LOW,LOW,ALM
2018-03-14 16:26:42.2642,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-14 16:27:18.2718,XMV-05,XMV-05,LOW,LOW,RTN
2018-03-14 16:27:18.2718,XMV-09,XMV-09,LOW,LOW,RTN
2018-03-14 16:27:18.2718,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-14 16:31:30.3130,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:32:06.326,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:32:42.3242,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:33:18.3318,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:34:30.3430,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:35:06.356,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:36:18.3618,XMV-02,XMV-02,LOW,LOW,ALM
2018-03-14 16:36:54.3654,XMV-02,XMV-02,LOW,LOW,RTN
2018-03-14 16:36:54.3654,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:36:54.3654,XMV-11,XMV-11,LOW,LOW,ALM
2018-03-14 16:37:30.3730,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:38:06.386,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:38:06.386,XMV-18,XMV-18,LOW,LOW,ALM
2018-03-14 16:38:42.3842,XMV-05,XMV-05,LOW,LOW,ALM
2018-03-14 16:39:18.3918,XMV-05,XMV-05,LOW,LOW,RTN
2018-03-14 16:39:18.3918,XMV-23,XMV-23,LOW,LOW,ALM
2018-03-14 16:39:18.3918,XMV-29,XMV-29,LOW,LOW,ALM
2018-03-14 16:39:18.3918,XMV-31,XMV-31,HIGH,HIGH,ALM
2018-03-14 16:40:30.4030,XMV-11,XMV-11,LOW,LOW,RTN
2018-03-14 16:41:06.416,XMV-05,XMV-05,LOW,LOW,ALM
2018-03-14 16:41:42.4142,XMV-05,XMV-05,LOW,LOW,RTN
2018-03-14 16:42:54.4254,XMV-05,XMV-05,LOW,LOW,ALM
2018-03-14 16:42:54.4254,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:43:30.4330,XMV-05,XMV-05,LOW,LOW,RTN
2018-03-14 16:43:30.4330,XMV-06,XMV-06,LOW,LOW,ALM
2018-03-14 16:44:06.446,XMV-11,XMV-11,LOW,LOW,ALM
2018-03-14 16:44:42.4442,XMV-06,XMV-06,LOW,LOW,RTN
2018-03-14 16:45:18.4518,XMV-01,XMV-01,LOW,LOW,RTN
