proc_var,limit,type,dead_band,delay_time
1,0.265139401519013,LOW,NaN,NaN
2,3660.86767781873,HIGH,NaN,NaN
3,4435.88664914628,LOW,NaN,NaN
4,9.22014950020814,LOW,NaN,NaN
5,32.4800394557523,HIGH,NaN,NaN
6,47.0811078666282,LOW,NaN,NaN
7,2795.08783867638,LOW,NaN,NaN
8,64.998690032426,HIGH,NaN,NaN
9,122.889476220253,LOW,NaN,NaN
10,0.347095863579425,HIGH,NaN,NaN
11,91.707998883237,LOW,NaN,NaN
12,49.8369654719493,LOW,NaN,NaN
13,2698.97623133579,LOW,NaN,NaN
14,25.1167967495666,LOW,NaN,NaN
15,48.5573995886519,LOW,NaN,NaN
16,3329.17996334566,LOW,NaN,NaN
17,22.9147758113315,HIGH,NaN,NaN
18,65.6420320211189,LOW,NaN,NaN
19,0.265910299642255,HIGH,NaN,NaN
20,271.666013508044,LOW,NaN,NaN
21,102.210642931074,LOW,NaN,NaN
22,91.8296640007862,LOW,NaN,NaN
23,31.8964297288343,LOW,NaN,NaN
24,10.5770462629698,LOW,NaN,NaN
25,18.6482623170788,LOW,NaN,NaN
26,6.05665607157475,HIGH,NaN,NaN
27,16.737287036343,HIGH,NaN,NaN
28,4.03472754922125,LOW,NaN,NaN
29,32.7780601531004,HIGH,NaN,NaN
30,21.5965203677251,LOW,NaN,NaN
31,3.68327834240519,LOW,NaN,NaN
32,0.833250225748147,LOW,NaN,NaN
33,15.8053947460082,LOW,NaN,NaN
34,5.39539187557676,LOW,NaN,NaN
35,6.43658880447496,LOW,NaN,NaN
36,3.52439959033669,HIGH,NaN,NaN
37,0.0101728144321671,LOW,NaN,NaN
38,0.573742371909694,HIGH,NaN,NaN
39,0.18480172314576,LOW,NaN,NaN
40,53.4230800256196,LOW,NaN,NaN
41,44.1804694115395,HIGH,NaN,NaN
42,45.0089808111328,HIGH,NaN,NaN
43,44.9930941454404,LOW,NaN,NaN
44,44.9944838543343,LOW,NaN,NaN
45,44.9947577892024,LOW,NaN,NaN
46,34.9947927707958,LOW,NaN,NaN
47,81.3650549530787,LOW,NaN,NaN
48,39.9964480637721,LOW,NaN,NaN
49,33.551255152494,LOW,NaN,NaN
50,99.9851532810302,LOW,NaN,NaN
51,0.00325042475078576,LOW,NaN,NaN
52,-0.00347775662424735,LOW,NaN,NaN
53,-0.00335339421600398,LOW,NaN,NaN
54,-0.00425874536623214,LOW,NaN,NaN
55,-0.0387376984351573,LOW,NaN,NaN
56,-0.000356148310408391,LOW,NaN,NaN
57,-0.0356481247466587,LOW,NaN,NaN
58,-0.00343663967402678,LOW,NaN,NaN
59,99.988540061665,LOW,NaN,NaN
60,-0.0787713275089708,LOW,NaN,NaN
61,-0.0176751022629075,LOW,NaN,NaN
62,-0.298923692752131,LOW,NaN,NaN
63,-0.0164136608923421,LOW,NaN,NaN
64,-0.0261967992005548,LOW,NaN,NaN
65,-0.0120570571042324,LOW,NaN,NaN
66,100.047588028635,HIGH,NaN,NaN
67,-0.0219121057171532,LOW,NaN,NaN
68,48.2300087936708,LOW,NaN,NaN
69,0.466454995943082,LOW,NaN,NaN
70,50.8632563739669,LOW,NaN,NaN
71,-0.00844011354543878,LOW,NaN,NaN
72,-0.0432479041606305,LOW,NaN,NaN
73,-0.0511021552592835,LOW,NaN,NaN
