TIME,TAG,TAG_DESC,ALARM,ALARM_DESC,STATE
2018-03-13 18:00:30.030,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 18:01:06.16,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 18:15:30.1530,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:16:06.166,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 18:17:18.1718,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:17:54.1754,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 18:28:06.286,XMV-01,XMV-01,HIGH,HIGH,ALM
2018-03-13 18:28:42.2842,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 18:34:06.346,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:34:42.3442,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 18:37:06.376,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:37:42.3742,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 18:38:54.3854,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 18:39:30.3930,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 18:40:06.406,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:40:06.406,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 18:40:42.4042,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 18:40:42.4042,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 18:41:18.4118,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:41:18.4118,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 18:41:54.4154,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 18:56:54.5654,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 18:57:30.5730,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 19:18:30.1830,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:19:06.196,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:20:54.2054,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:21:30.2130,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:22:42.2242,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:23:54.2354,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:26:18.2618,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:26:54.2654,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:35:54.3554,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:36:30.3630,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:37:42.3742,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:38:54.3854,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:43:06.436,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:44:18.4418,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:46:42.4642,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:47:18.4718,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 19:58:42.5842,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 19:59:18.5918,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 20:05:18.518,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 20:05:54.554,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 20:13:42.1342,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 20:14:18.1418,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 20:19:42.1942,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 20:20:18.2018,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 20:20:54.2054,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 20:21:30.2130,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 20:28:42.2842,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 20:29:18.2918,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 20:54:30.5430,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 20:55:06.556,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 21:05:54.554,XMV-09,XMV-09,HIGH,HIGH,ALM
