TIME,TAG,TAG_DESC,ALARM,ALARM_DESC,STATE
2018-03-13 13:01:15.115,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:01:51.151,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:03:03.33,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:03:39.339,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:19:15.1915,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:19:51.1951,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:26:27.2627,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:27:03.273,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:32:27.3227,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:33:03.333,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:40:15.4015,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:40:51.4051,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:42:39.4239,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:43:15.4315,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:43:51.4351,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:45:03.453,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:50:27.5027,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:51:03.513,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:52:51.5251,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:53:27.5327,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:55:15.5515,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:55:51.5551,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 13:58:51.5851,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 13:59:27.5927,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:01:15.115,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:01:51.151,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:06:39.639,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:07:15.715,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:14:27.1427,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 14:16:51.1651,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:17:27.1727,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:21:03.213,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:21:39.2139,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:22:15.2215,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:22:51.2251,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:27:03.273,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 14:27:39.2739,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:28:15.2815,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:31:51.3151,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:32:27.3227,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:44:27.4427,XMV-08,XMV-08,HIGH,HIGH,ALM
2018-03-13 14:45:03.453,XMV-08,XMV-08,HIGH,HIGH,RTN
2018-03-13 14:54:03.543,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 14:55:15.5515,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 14:58:51.5851,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 14:59:27.5927,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:01:15.115,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:01:51.151,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:02:27.227,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:03:03.33,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:04:51.451,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:05:27.527,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:07:15.715,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:07:51.751,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:09:39.939,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:10:51.1051,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:12:03.123,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:13:51.1351,XMV-09,XMV-09,HIGH,HIGH,RTN
2018-03-13 15:17:27.1727,XMV-09,XMV-09,HIGH,HIGH,ALM
2018-03-13 15:18:39.1839,XMV-09,XMV-09,HIGH,HIGH,RTN
