proc_var,limit,type,dead_band,delay_time
1,0.045975751926542,LOW,NaN,NaN
2,3675.13596974364,HIGH,NaN,NaN
3,4579.00297093169,HIGH,NaN,NaN
4,9.23766644064749,HIGH,NaN,NaN
5,32.6109241285113,HIGH,NaN,NaN
6,47.6010744134924,LOW,NaN,NaN
7,2803.78935272638,HIGH,NaN,NaN
8,65.4969359433087,HIGH,NaN,NaN
9,122.897573582292,LOW,NaN,NaN
10,0.499261840461518,HIGH,NaN,NaN
11,91.9311466461559,LOW,NaN,NaN
12,51.5943616835659,HIGH,NaN,NaN
13,2707.56254056558,HIGH,NaN,NaN
14,25.4675396369646,HIGH,NaN,NaN
15,50.0684961925753,HIGH,NaN,NaN
16,3335.86801010752,HIGH,NaN,NaN
17,22.9663694508349,HIGH,NaN,NaN
18,66.7159957296038,HIGH,NaN,NaN
20,273.526852986001,HIGH,NaN,NaN
21,103.654748167514,LOW,NaN,NaN
22,87.9039951477487,LOW,NaN,NaN
