,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,49.0,49.0,49.0,2.0,42.0,0.0,27.0,36.0,47.0,42.0,5.0
xmeas02_low,42.0,0.0,49.0,39.0,2.0,47.0,6.0,0.0,49.0,17.0,16.0,1.0
xmeas03_low,37.0,36.0,0.0,32.0,43.0,48.0,24.0,44.0,0.0,44.0,49.0,42.0
xmeas08_low,49.0,22.0,43.0,0.0,47.0,37.0,49.0,47.0,48.0,0.0,49.0,49.0
xmeas09_low,30.0,39.0,6.0,46.0,0.0,24.0,49.0,22.0,34.0,12.0,0.0,31.0
xmeas21_low,41.0,19.0,36.0,22.0,26.0,0.0,29.0,25.0,16.0,10.0,13.0,0.0
xmeas01_high,0.0,44.0,14.0,46.0,25.0,42.0,0.0,24.0,1.0,2.0,27.0,30.0
xmeas02_high,14.0,0.0,44.0,44.0,6.0,48.0,44.0,0.0,5.0,19.0,49.0,18.0
xmeas03_high,49.0,36.0,0.0,35.0,9.0,21.0,11.0,49.0,0.0,19.0,1.0,2.0
xmeas08_high,7.0,33.0,5.0,0.0,10.0,31.0,21.0,40.0,1.0,0.0,3.0,48.0
xmeas09_high,49.0,44.0,38.0,48.0,0.0,17.0,47.0,27.0,16.0,19.0,0.0,32.0
xmeas21_high,47.0,48.0,44.0,33.0,25.0,0.0,47.0,25.0,1.0,40.0,44.0,0.0
