,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.01226780662877897,0.12969178813754006,0.0,0.0,0.0,0.0035666965792909354,0.14035242123035224,0.08303422464200741
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas21_low,0.0,0.0002608205536025716,0.00043430631540358197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas01_high,0.0,0.0,0.0,0.0029555353209277176,0.0,0.0,0.0,0.0,0.00044276177079229095,0.0,0.0,0.0
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004992299578321706,0.0,0.0,0.0,0.0
xmeas09_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas21_high,0.0,0.0,0.0,0.0,0.0,0.0,0.39678254846356537,0.0,0.0,0.0,0.0,0.0
