,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,1.0,1.0,1.0,3.0,24.0,0.0,1.0,1.0,1.0,24.0,5.0
xmeas02_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
xmeas03_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
xmeas08_low,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
xmeas09_low,24.0,1.0,1.0,1.0,0.0,24.0,12.0,1.0,1.0,1.0,0.0,24.0
xmeas21_low,24.0,1.0,1.0,1.0,18.0,0.0,24.0,1.0,1.0,1.0,14.0,0.0
xmeas01_high,0.0,1.0,1.0,1.0,12.0,24.0,0.0,1.0,1.0,1.0,24.0,24.0
xmeas02_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
xmeas03_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
xmeas08_high,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
xmeas09_high,24.0,1.0,1.0,1.0,0.0,18.0,24.0,1.0,1.0,1.0,0.0,24.0
xmeas21_high,24.0,1.0,1.0,1.0,19.0,0.0,24.0,1.0,1.0,1.0,19.0,0.0
