,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,42.0,42.0,23.0,3.0,1.0,0.0,22.0,22.0,44.0,49.0,4.0
xmeas02_low,49.0,0.0,49.0,39.0,5.0,44.0,15.0,0.0,49.0,17.0,16.0,30.0
xmeas03_low,29.0,35.0,0.0,32.0,43.0,25.0,19.0,44.0,0.0,44.0,3.0,32.0
xmeas08_low,23.0,22.0,43.0,0.0,1.0,30.0,11.0,47.0,48.0,0.0,10.0,3.0
xmeas09_low,49.0,39.0,6.0,46.0,0.0,27.0,44.0,22.0,31.0,5.0,0.0,22.0
xmeas21_low,48.0,35.0,12.0,49.0,24.0,0.0,47.0,29.0,17.0,17.0,49.0,0.0
xmeas01_high,0.0,46.0,47.0,34.0,48.0,3.0,0.0,33.0,35.0,28.0,1.0,17.0
xmeas02_high,46.0,0.0,44.0,44.0,6.0,26.0,41.0,0.0,5.0,19.0,45.0,22.0
xmeas03_high,49.0,35.0,0.0,35.0,9.0,3.0,40.0,49.0,0.0,19.0,18.0,11.0
xmeas08_high,40.0,33.0,5.0,0.0,10.0,7.0,7.0,40.0,1.0,0.0,4.0,48.0
xmeas09_high,49.0,44.0,49.0,49.0,0.0,2.0,2.0,47.0,40.0,27.0,0.0,39.0
xmeas21_high,49.0,38.0,49.0,33.0,30.0,0.0,47.0,49.0,16.0,16.0,48.0,0.0
