,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.004514462843125403,0.045703148878622715,0.0,0.0,0.0,0.0,0.15246046944409508,0.08214614395417215
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.007482210898014257,0.0,0.0,0.0,0.0,0.003997806379620976,0.0013717369744821505,0.0,0.0,0.0,0.0,0.016318472981380238
xmeas21_low,0.037278013413869944,0.0,0.0,0.0,0.001749288920766397,0.0,0.12358082777049326,0.0,0.0,0.0,0.03191854266853026,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.0016971870455642216,0.010287574291046039,0.0,0.0,0.0,0.0,0.01825085655647374,0.016245345663601293
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,0.008360210351680445,0.0,0.0,0.0,0.0,0.07272906859108678,0.03895078712689749,0.0,0.0,0.0,0.0,0.018434071589029776
xmeas21_high,0.024624348065866296,0.0,0.0,0.0,0.004650422168963918,0.0,0.19201328037665152,0.0,0.0,0.0,0.12462660239906605,0.0
