,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.0007662380554427717,6.572242722471756e-05,0.0,0.0,0.0,0.0,1.613876560246711e-05,0.005104983042056401
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,2.1424081691897645e-05,0.0,0.0,0.0,0.0,0.00042566033232625203,0.0007368339030973865,0.0,0.0,0.0,0.0,0.0006108718403710015
xmeas21_low,0.00020586817661486293,0.0,0.0,0.0,0.00026869778217950593,0.0,6.911781268159582e-05,0.0,0.0,0.0,6.781588999278205e-05,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.0007346597678980064,0.016638318131091647,0.0,0.0,0.0,0.0,0.021401323155327723,4.4451070825425296e-05
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,1.613664151373684e-05,0.0,0.0,0.0,0.0,0.01048549048583702,1.2825255400646666e-05,0.0,0.0,0.0,0.0,4.361092258415485e-05
xmeas21_high,4.200816383648072e-05,0.0,0.0,0.0,0.0006031217352557559,0.0,0.004963722912160469,0.0,0.0,0.0,0.005002915014254256,0.0
