,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.12235475182762601,0.5863793766833397,0.6475567525971527,0.0,0.0,0.0,0.632935744517122,1.0
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.5767195767195767,0.0,0.0,0.0,0.0,0.05291005291005291,0.4444444444444444,0.0,0.0,0.0,0.021164021164021163,1.0
xmeas21_low,0.0041574279379157425,0.0,0.0,0.0,0.1801552106430155,0.0,0.5072062084257206,0.0,0.0,0.0,0.19207317073170732,0.1488359201773836
xmeas01_high,0.0,0.0,0.0,0.0,0.2224334600760456,0.532319391634981,0.0,0.0,0.0,0.0,0.2313959804454101,0.5860945138511678
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,0.0,0.0,0.0,0.0,0.25810185185185186,1.0,1.0,0.0,0.0,0.0,0.0,0.013888888888888888
xmeas21_high,0.6596164692611393,0.0,0.0,0.0,0.0583756345177665,0.45967287084038355,0.6139311900733221,0.0,0.0,0.0,0.49238578680203043,0.0
