,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.12196998845709889,0.42939592150827244,0.49057329742208544,0.0,0.0,0.0,0.47595228934205464,1.0
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.5767195767195767,0.0,0.0,0.0,0.0,0.05291005291005291,0.42328042328042326,0.0,0.0,0.0,0.0,0.9259259259259259
xmeas21_low,0.0016629711751662971,0.0,0.0,0.0,0.13497782705099778,0.0,0.5072062084257206,0.0,0.0,0.0,0.19207317073170732,0.05016629711751663
xmeas01_high,0.0,0.0,0.0,0.0,0.17490494296577946,0.5293318848451928,0.0,0.0,0.0,0.0,0.2313959804454101,0.4752851711026616
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,0.0,0.0,0.0,0.0,0.09375,1.0,1.0,0.0,0.0,0.0,0.0,0.013888888888888888
xmeas21_high,0.6596164692611393,0.0,0.0,0.0,0.05611957134799774,0.3432036097010716,0.4988719684151156,0.0,0.0,0.0,0.377326565143824,0.0
