,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.00922722029988466,0.0030757400999615533,0.0030757400999615533,0.36255286428296807,0.09611687812379854,0.1568627450980392,0.0030757400999615533,0.006151480199923107,0.018838908112264515,0.14225297962322184,0.9996155324875048
xmeas02_low,0.3,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.5
xmeas03_low,0.11764705882352941,0.0,0.0,0.0,0.23529411764705882,0.35294117647058826,0.17647058823529413,0.0,0.0,0.0,0.058823529411764705,0.17647058823529413
xmeas08_low,0.016129032258064516,0.0,0.0,0.0,0.0,0.22580645161290322,0.08064516129032258,0.0,0.0,0.0,0.04838709677419355,0.20967741935483872
xmeas09_low,0.4865350089766607,0.01436265709156194,0.010771992818671455,0.003590664272890485,0.0,0.1059245960502693,0.47217235188509876,0.005385996409335727,0.008976660682226212,0.03052064631956912,0.0017953321364452424,0.6696588868940754
xmeas21_low,0.00026961445133459155,0.0026961445133459154,0.00862766244270693,0.005931517929361013,0.14505257481801023,0.0,0.4936640603936371,0.01779455378808304,0.008358047991372337,0.06228093825829065,0.20895119978430843,0.00026961445133459155
xmeas01_high,0.00027122321670735016,0.0043395714673176026,0.006509357200976403,0.014103607268782207,0.3308923243829672,0.5364795226471386,0.0,0.014374830485489558,0.015188500135611608,0.07051803634391104,0.24572823433685922,0.3029563330621101
xmeas02_high,0.05555555555555555,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.3888888888888889,0.0,0.0,0.1111111111111111,0.05555555555555555,0.16666666666666666
xmeas03_high,0.1,0.0,0.0,0.0,0.0,0.4,0.7,0.0,0.0,0.1,0.1,0.5
xmeas08_high,0.16326530612244897,0.0,0.02040816326530612,0.0,0.3469387755102041,0.673469387755102,0.7755102040816326,0.0,0.02040816326530612,0.0,0.2653061224489796,0.12244897959183673
xmeas09_high,0.0,0.0,0.0,0.0022471910112359553,0.0011235955056179776,0.9808988764044944,0.9685393258426966,0.0022471910112359553,0.012359550561797753,0.09325842696629214,0.0,0.01348314606741573
xmeas21_high,0.6549887892376681,0.008408071748878924,0.002522421524663677,0.02466367713004484,0.2242152466367713,0.09837443946188341,0.2673766816143498,0.002242152466367713,0.010930493273542601,0.014573991031390135,0.1320067264573991,0.0
