,xmeas01_low,xmeas02_low,xmeas03_low,xmeas06_low,xmeas07_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas06_high,xmeas07_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,1.0,1.0,23.0,47.0,1.0,3.0,41.0,0.0,1.0,1.0,49.0,49.0,1.0,49.0,5.0
xmeas02_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
xmeas03_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
xmeas06_low,17.0,1.0,1.0,0.0,20.0,1.0,49.0,26.0,23.0,1.0,1.0,0.0,26.0,1.0,17.0,19.0
xmeas07_low,45.0,1.0,1.0,20.0,0.0,1.0,31.0,43.0,44.0,1.0,1.0,37.0,0.0,1.0,18.0,49.0
xmeas08_low,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
xmeas09_low,31.0,1.0,1.0,35.0,34.0,1.0,0.0,34.0,49.0,1.0,1.0,49.0,49.0,1.0,0.0,32.0
xmeas21_low,42.0,1.0,1.0,36.0,28.0,1.0,49.0,0.0,28.0,1.0,1.0,26.0,18.0,1.0,14.0,0.0
xmeas01_high,0.0,1.0,1.0,36.0,49.0,1.0,12.0,41.0,0.0,1.0,1.0,29.0,3.0,1.0,49.0,30.0
xmeas02_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
xmeas03_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
xmeas06_high,49.0,1.0,1.0,0.0,39.0,1.0,21.0,12.0,37.0,1.0,1.0,0.0,18.0,1.0,49.0,31.0
xmeas07_high,49.0,1.0,1.0,22.0,0.0,1.0,24.0,40.0,16.0,1.0,1.0,26.0,0.0,1.0,13.0,41.0
xmeas08_high,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
xmeas09_high,49.0,1.0,1.0,36.0,47.0,1.0,0.0,18.0,47.0,1.0,1.0,28.0,39.0,1.0,0.0,35.0
xmeas21_high,46.0,1.0,1.0,21.0,13.0,1.0,19.0,0.0,46.0,1.0,1.0,49.0,49.0,1.0,19.0,0.0
