,XMEAS01_high,XMEAS02_high,XMEAS03_high,XMEAS06_high,XMEAS07_high,XMEAS08_high,XMEAS09_high,XMEAS21_high,XMEAS01_low,XMEAS02_low,XMEAS03_low,XMEAS06_low,XMEAS07_low,XMEAS08_low,XMEAS09_low,XMEAS21_low
XMEAS01_high,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
XMEAS02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS06_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS07_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS09_high,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
XMEAS21_high,49.0,0.0,0.0,0.0,49.0,37.0,49.0,0.0,0.0,0.0,0.0,31.0,29.0,0.0,0.0,0.0
XMEAS01_low,0.0,0.0,0.0,0.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,32.0,49.0,0.0,0.0,0.0
XMEAS02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS06_low,49.0,0.0,0.0,0.0,49.0,48.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
XMEAS07_low,49.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,49.0
XMEAS08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS09_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMEAS21_low,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
