,x1_high,x2_high,x3_high,x6_high,x7_high,x8_high,x9_high,x21_high,x1_low,x2_low,x3_low,x6_low,x7_low,x8_low,x9_low,x21_low
x1_high,0.0,1.0,1.0,1.0,33.0,4.0,20.0,33.0,0.0,1.0,1.0,10.0,33.0,1.0,15.0,23.0
x2_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
x3_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
x6_high,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
x7_high,33.0,1.0,1.0,1.0,0.0,4.0,17.0,33.0,33.0,1.0,1.0,11.0,0.0,1.0,15.0,32.0
x8_high,33.0,1.0,1.0,1.0,19.0,0.0,13.0,33.0,13.0,1.0,1.0,20.0,9.0,0.0,24.0,23.0
x9_high,33.0,1.0,1.0,1.0,33.0,7.0,0.0,33.0,33.0,1.0,1.0,10.0,33.0,1.0,0.0,8.0
x21_high,33.0,1.0,1.0,1.0,33.0,33.0,33.0,0.0,33.0,1.0,1.0,31.0,29.0,1.0,2.0,0.0
x1_low,0.0,1.0,1.0,1.0,33.0,33.0,33.0,33.0,0.0,1.0,1.0,32.0,33.0,1.0,33.0,5.0
x2_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
x3_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
x6_low,33.0,1.0,1.0,0.0,33.0,33.0,33.0,33.0,33.0,1.0,1.0,0.0,33.0,1.0,26.0,29.0
x7_low,33.0,1.0,1.0,1.0,0.0,33.0,33.0,31.0,33.0,1.0,1.0,31.0,0.0,1.0,17.0,33.0
x8_low,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
x9_low,33.0,1.0,1.0,1.0,26.0,33.0,0.0,33.0,33.0,1.0,1.0,32.0,33.0,1.0,0.0,33.0
x21_low,33.0,1.0,1.0,1.0,32.0,4.0,11.0,0.0,33.0,1.0,1.0,33.0,33.0,1.0,30.0,0.0
