,XMEAS01_high,XMEAS02_high,XMEAS03_high,XMEAS06_high,XMEAS07_high,XMEAS08_high,XMEAS09_high,XMEAS21_high,XMEAS01_low,XMEAS02_low,XMEAS03_low,XMEAS06_low,XMEAS07_low,XMEAS08_low,XMEAS09_low,XMEAS21_low
XMEAS01_high,0.0,1.0,1.0,1.0,46.0,4.0,49.0,49.0,0.0,1.0,1.0,10.0,49.0,1.0,14.0,49.0
XMEAS02_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
XMEAS03_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
XMEAS06_high,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
XMEAS07_high,49.0,1.0,1.0,1.0,0.0,4.0,18.0,42.0,49.0,1.0,1.0,11.0,0.0,1.0,17.0,32.0
XMEAS08_high,49.0,1.0,1.0,1.0,19.0,0.0,13.0,45.0,13.0,1.0,1.0,20.0,49.0,0.0,24.0,23.0
XMEAS09_high,49.0,1.0,1.0,1.0,42.0,8.0,0.0,48.0,49.0,1.0,1.0,10.0,49.0,1.0,0.0,8.0
XMEAS21_high,49.0,1.0,1.0,1.0,49.0,37.0,49.0,0.0,49.0,1.0,1.0,31.0,29.0,1.0,49.0,0.0
XMEAS01_low,0.0,1.0,1.0,1.0,49.0,49.0,49.0,49.0,0.0,1.0,1.0,32.0,49.0,1.0,36.0,5.0
XMEAS02_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
XMEAS03_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
XMEAS06_low,49.0,1.0,1.0,0.0,49.0,48.0,40.0,45.0,49.0,1.0,1.0,0.0,49.0,1.0,49.0,29.0
XMEAS07_low,49.0,1.0,1.0,1.0,0.0,49.0,49.0,30.0,49.0,1.0,1.0,30.0,0.0,1.0,49.0,49.0
XMEAS08_low,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
XMEAS09_low,49.0,1.0,1.0,1.0,26.0,49.0,0.0,44.0,49.0,1.0,1.0,47.0,35.0,1.0,0.0,49.0
XMEAS21_low,49.0,1.0,1.0,1.0,43.0,4.0,11.0,0.0,49.0,1.0,1.0,40.0,36.0,1.0,30.0,0.0
