,x01_high,x02_high,x03_high,x06_high,x07_high,x08_high,x09_high,x21_high,x01_low,x02_low,x03_low,x06_low,x07_low,x08_low,x09_low,x21_low
x01_high,0.0,0.0,0.0,0.0,0.014642432907695475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040708818951026834
x02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x06_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x07_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x09_high,0.0,0.0,0.0,0.0,0.02654478331314318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02198747817135404
x21_high,0.1066768026851834,0.0,0.0,0.0,0.0636094074264515,0.0,0.0376006922774175,0.0,0.0,0.0,0.0,0.07321129300314387,0.07400173601864418,0.0,0.0,0.0
x01_low,0.0,0.0,0.0,0.0,0.02342993163880145,0.0,0.025628732305875118,0.016938487108612368,0.0,0.0,0.0,0.04675692626907151,0.008912376340783373,0.0,0.0,0.0
x02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x06_low,0.12294419702138278,0.0,0.0,0.0,0.1176806005222607,0.009333093835398962,0.05218014072327922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03548140705151073
x07_low,0.10636536375449417,0.0,0.0,0.0,0.0,0.0,0.033860586686558385,0.0,0.0,0.0,0.0,0.06531550778846444,0.0,0.0,0.0,0.1512784756129776
x08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x09_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x21_low,0.0,0.0,0.0,0.0,0.047716265581858285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
