,xmeas01_low,xmeas02_low,xmeas03_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.0,0.004514462843125403,0.13618717255543394,0.0,0.0,0.0,0.0,0.15256422399391975,0.08214614395417215
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.01095819129492084,0.0,0.0,0.0,0.0,0.005081326108676186,0.01768949825545004,0.0,0.0,0.0,0.0,0.02037067258143916
xmeas21_low,0.055674922579944816,0.0,0.0,0.0,0.002254399524870479,0.0,0.13387294151521045,0.0,0.0,0.0,0.03191854266853026,0.0
xmeas01_high,0.0,0.0,0.0,0.0,0.0016971870455642216,0.07659895402281522,0.0,0.0,0.0,0.0,0.018317309064842968,0.016401934273716987
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,0.01816308533330481,0.0,0.0,0.0,0.0,0.07272906859108678,0.09862151654220302,0.0,0.0,0.0,0.0,0.02258806941918814
xmeas21_high,0.07571203515670545,0.0,0.0,0.0,0.004650422168963918,0.0,0.39879310464711076,0.0,0.0,0.0,0.12462660239906605,0.0
