proc_var,limit,type,dead_band,delay_time
1,0.249111322201095,LOW,NaN,NaN
2,3597.39482330584,LOW,NaN,NaN
3,4371.2714589391,LOW,NaN,NaN
4,9.07878640739739,LOW,NaN,NaN
5,31.8088849971198,LOW,NaN,NaN
6,46.954535473039,LOW,NaN,NaN
7,2796.97160540925,LOW,NaN,NaN
8,63.4949529018599,LOW,NaN,NaN
9,122.867268631317,LOW,NaN,NaN
10,0.180729077237039,LOW,NaN,NaN
11,91.8106626832596,LOW,NaN,NaN
12,46.9739047021993,LOW,NaN,NaN
13,2701.52172710701,LOW,NaN,NaN
14,24.8858295405166,LOW,NaN,NaN
15,46.933219138408,LOW,NaN,NaN
16,3328.54686845023,LOW,NaN,NaN
17,22.543987345095,LOW,NaN,NaN
18,66.4966776949195,LOW,NaN,NaN
19,-3.45772282582666,LOW,NaN,NaN
20,271.925358728683,LOW,NaN,NaN
21,102.409678420703,LOW,NaN,NaN
22,91.9049441475308,LOW,NaN,NaN
23,31.4134991981582,LOW,NaN,NaN
24,14.5799606477963,LOW,NaN,NaN
25,18.018840345798,LOW,NaN,NaN
26,5.69612333093507,LOW,NaN,NaN
27,15.8985535619672,LOW,NaN,NaN
28,3.97784285509274,LOW,NaN,NaN
29,31.8901393113322,LOW,NaN,NaN
30,21.3925600844028,LOW,NaN,NaN
31,12.4123255681234,LOW,NaN,NaN
32,0.594959640598879,LOW,NaN,NaN
33,15.3479214513351,LOW,NaN,NaN
34,5.31660233723288,LOW,NaN,NaN
35,6.52320875577939,LOW,NaN,NaN
36,3.11216797838165,LOW,NaN,NaN
37,-0.0189382066454216,LOW,NaN,NaN
38,0.541968227751489,LOW,NaN,NaN
39,0.155763462561061,LOW,NaN,NaN
40,52.3060578402946,LOW,NaN,NaN
41,42.4504256545205,LOW,NaN,NaN
42,44.9699469656734,LOW,NaN,NaN
43,44.9699573452414,LOW,NaN,NaN
44,44.9699217508691,LOW,NaN,NaN
45,44.9699549591929,LOW,NaN,NaN
46,34.9698631091379,LOW,NaN,NaN
47,81.0974807794098,LOW,NaN,NaN
48,39.9699626660469,LOW,NaN,NaN
49,27.8269821226621,LOW,NaN,NaN
50,99.9598709323535,LOW,NaN,NaN
51,-0.0203801072799055,LOW,NaN,NaN
52,-0.0303482246968365,LOW,NaN,NaN
53,-0.0299291111811687,LOW,NaN,NaN
54,-0.0300243463671238,LOW,NaN,NaN
55,-0.374137758543284,LOW,NaN,NaN
56,-0.0298381278371846,LOW,NaN,NaN
57,-0.362308661246349,LOW,NaN,NaN
58,-0.0300996667361517,LOW,NaN,NaN
59,99.960205851831,LOW,NaN,NaN
60,-0.746302010054297,LOW,NaN,NaN
61,-0.299061328029368,LOW,NaN,NaN
62,-0.751890343186991,LOW,NaN,NaN
63,-0.299448785011214,LOW,NaN,NaN
64,-0.750206246015124,LOW,NaN,NaN
65,-0.0753903398309749,LOW,NaN,NaN
66,99.2472602774069,LOW,NaN,NaN
67,-0.294767035908408,LOW,NaN,NaN
68,47.7536509440694,LOW,NaN,NaN
69,0.200640126934806,LOW,NaN,NaN
70,50.2551650657878,LOW,NaN,NaN
71,-0.0753194201920412,LOW,NaN,NaN
72,-0.753506601192557,LOW,NaN,NaN
73,-0.299135758621217,LOW,NaN,NaN
1,0.284437306241865,HIGH,NaN,NaN
2,3711.10996829501,HIGH,NaN,NaN
3,4514.06912137061,HIGH,NaN,NaN
4,9.3921513472402,HIGH,NaN,NaN
5,33.0275484779416,HIGH,NaN,NaN
6,48.2352685564156,HIGH,NaN,NaN
7,2803.03375348139,HIGH,NaN,NaN
8,66.5055762806084,HIGH,NaN,NaN
9,122.932754981652,HIGH,NaN,NaN
10,0.243212824517772,HIGH,NaN,NaN
11,92.2277381115182,HIGH,NaN,NaN
12,53.0235506763237,HIGH,NaN,NaN
13,2707.54589442811,HIGH,NaN,NaN
14,25.6448520378292,HIGH,NaN,NaN
15,53.0660596342004,HIGH,NaN,NaN
16,3335.55268702974,HIGH,NaN,NaN
17,23.235782695985,HIGH,NaN,NaN
18,66.7841168459129,HIGH,NaN,NaN
19,3.45174398236249,HIGH,NaN,NaN
20,274.100348560076,HIGH,NaN,NaN
21,102.527798404049,HIGH,NaN,NaN
22,92.8104583033685,HIGH,NaN,NaN
23,32.9859624689561,HIGH,NaN,NaN
24,15.2075973462293,HIGH,NaN,NaN
25,19.581788907166,HIGH,NaN,NaN
26,6.29757602518608,HIGH,NaN,NaN
27,17.410880383618,HIGH,NaN,NaN
28,4.13649026880463,HIGH,NaN,NaN
29,33.5208569038856,HIGH,NaN,NaN
30,22.052097719806,HIGH,NaN,NaN
31,14.0141928137886,HIGH,NaN,NaN
32,1.19086891914451,HIGH,NaN,NaN
33,16.8896928356406,HIGH,NaN,NaN
34,5.48254037644841,HIGH,NaN,NaN
35,6.83829468223234,HIGH,NaN,NaN
36,3.4179529375358,HIGH,NaN,NaN
37,0.0408907168767152,HIGH,NaN,NaN
38,0.604974515336485,HIGH,NaN,NaN
39,0.21581378183891,HIGH,NaN,NaN
40,55.2927068409545,HIGH,NaN,NaN
41,45.4818988393518,HIGH,NaN,NaN
42,45.0299849997309,HIGH,NaN,NaN
43,45.0300714342867,HIGH,NaN,NaN
44,45.0301395567557,HIGH,NaN,NaN
45,45.0299961545645,HIGH,NaN,NaN
46,35.0299980629445,HIGH,NaN,NaN
47,82.1728566771852,HIGH,NaN,NaN
48,40.0300427422461,HIGH,NaN,NaN
49,39.4462176540119,HIGH,NaN,NaN
50,100.020045402308,HIGH,NaN,NaN
51,0.0403708786987543,HIGH,NaN,NaN
52,0.0298231715837511,HIGH,NaN,NaN
53,0.0299733794822988,HIGH,NaN,NaN
54,0.0297156663287263,HIGH,NaN,NaN
55,0.368293058006588,HIGH,NaN,NaN
56,0.0297141203237812,HIGH,NaN,NaN
57,0.381706699072073,HIGH,NaN,NaN
58,0.0300971569034166,HIGH,NaN,NaN
59,100.019998297601,HIGH,NaN,NaN
60,0.745793301450447,HIGH,NaN,NaN
61,0.302266761504595,HIGH,NaN,NaN
62,0.752730973974039,HIGH,NaN,NaN
63,0.299275066734898,HIGH,NaN,NaN
64,0.752803104519207,HIGH,NaN,NaN
65,0.0750043031237352,HIGH,NaN,NaN
66,100.738640751676,HIGH,NaN,NaN
67,0.311903019208356,HIGH,NaN,NaN
68,49.2481894413056,HIGH,NaN,NaN
69,0.798551454848483,HIGH,NaN,NaN
70,51.7418498489001,HIGH,NaN,NaN
71,0.0755671076496885,HIGH,NaN,NaN
72,0.756827240338778,HIGH,NaN,NaN
73,0.297980474862246,HIGH,NaN,NaN
